Date,Price
1997-01-01,2.4898393574297177
1998-01-01,2.0883665338645407
1999-01-01,2.274120000000001
2000-01-01,4.3114859437751
2001-01-01,3.9591199999999986
2002-01-01,3.3756000000000026
2003-01-01,5.471160000000001
2004-01-01,5.89289156626506
2005-01-01,8.685892116182574
2006-01-01,6.731244979919681
2007-01-01,6.96718253968254
2008-01-01,8.862529644268777
2009-01-01,3.942658730158732
2010-01-01,4.369722222222219
2011-01-01,3.9963095238095225
2012-01-01,2.7544841269841265
2013-01-01,3.7312698412698446
2014-01-01,4.372698412698415
2015-01-01,2.6239843749999983
2016-01-01,2.5159770114942543
2017-01-01,2.9880308880308877
2018-01-01,3.152661290322578
2019-01-01,2.6187700534759357
